namahotel,bintang,deskripsi,facility,nearbyattraction
Dusun Jogja Village Inn,3,"As a pioneering boutique hotel with naturally tranquil compound, adopting the concept of Javanese 'dusun', Dusun Jogja Village Inn is situated many stones away from the ever busy Malioboro street, yet it is still within reach of many city's highlights. To fulfill guests' needs, this hotel boasts amenities including laundry, safe deposit box, business center, free internet corner and WiFi in public area. Other amenities comprise business center and meeting room that can accommodate up to 50 people, as well as a car rental. 
Accommodation units are designed in such naturally tranquil compound, adopting the concept of Javanese 'dusun'. All rooms boast air conditioner, television and an International Direct Dial (IDD) telephone, as well as a private veranda or balcony overlooking the lush garden. Many walls in the rooms are plastered with summery, tropical colors with old-style tiles matching the antique-looking wooden furniture and decoration. 
Joglo Restaurant situated in lush tropical garden serves Javanese, Indonesian and International cuisines. 
Guests can pamper themselves at spa offering any treatments from massage to facial and body scrub. In addition, for those who want to soak can visit the outdoor swimming pool or sunbath at the poolside, whilst for those who want to enjoy a work-out can visit gym/ fitness center.","As a pioneering boutique hotel with naturally tranquil compound, adopting the concept of Javanese 'dusun', Dusun Jogja Village Inn is situated many stones away from the ever busy Malioboro street, yet it is still within reach of many city's highlights. To fulfill guests' needs, this hotel boasts amenities including laundry, safe deposit box, business center, free internet corner and WiFi in public area. Other amenities comprise business center and meeting room that can accommodate up to 50 people, as well as a car rental. 
Accommodation units are designed in such naturally tranquil compound, adopting the concept of Javanese 'dusun'. All rooms boast air conditioner, television and an International Direct Dial (IDD) telephone, as well as a private veranda or balcony overlooking the lush garden. Many walls in the rooms are plastered with summery, tropical colors with old-style tiles matching the antique-looking wooden furniture and decoration. 
Joglo Restaurant situated in lush tropical garden serves Javanese, Indonesian and International cuisines. 
Guests can pamper themselves at spa offering any treatments from massage to facial and body scrub. In addition, for those who want to soak can visit the outdoor swimming pool or sunbath at the poolside, whilst for those who want to enjoy a work-out can visit gym/ fitness center.",none
Duta Cabin,1,"This property located near Palace of Yogyakarta. Along with a restaurant, this hostel has an outdoor pool and a fitness center. Free WiFi in public areas and free self parking are also provided. Other amenities include dry cleaning, a 24-hour front desk, and tour/ticket assistance. All 2 rooms offer free WiFi, room service, and free bottled water. Other amenities available to guests include ceiling fans, showers, and free toiletries. 
Don't miss out on recreational opportunities including an outdoor pool and a fitness center. Additional features at this hostel include complimentary wireless Internet access and tour/ticket assistance.
Featured amenities include dry cleaning/laundry services and a 24-hour front desk. Free self parking is available onsite.
Make yourself at home in one of the 2 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include complimentary bottled water and ceiling fans, and housekeeping is provided daily.
Satisfy your appetite for lunch or dinner at the hostel's restaurant, Duta Cabin Restaurant, or stay in and take advantage of the room service (during limited hours).
 Nearby Attractions
Batik Plentong 0.5 km / 0.3 mi Lana Gallery 0.9 km / 0.5 mi Masjid Jogokariyan 1.3 km / 0.8 mi Alun Alun Kidul 1.7 km / 1.1 mi Sasono Hinggil 1.9 km / 1.2 mi De Mata Trick Eye 3D Museum 2.3 km / 1.5 mi Water Castle (Tamansari) 2.4 km / 1.5 mi Gumuling Well 2.4 km / 1.5 mi Kampoeng Cyber 2.5 km / 1.5 mi Taman Pintar Science Park 2.6 km / 1.6 mi Museum Sasmitaloka Panglima Besar Jenderal Sudirman 2.7 km / 1.7 mi Malioboro Street 2.8 km / 1.7 mi Sonobudoyo Museum 2.8 km / 1.8 mi Senopati 2.9 km / 1.8 mi Palace of Yogyakarta 3 km / 1.9 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 11.3 km / 7 mi","This property located near Palace of Yogyakarta. Along with a restaurant, this hostel has an outdoor pool and a fitness center. Free WiFi in public areas and free self parking are also provided. Other amenities include dry cleaning, a 24-hour front desk, and tour/ticket assistance. All 2 rooms offer free WiFi, room service, and free bottled water. Other amenities available to guests include ceiling fans, showers, and free toiletries. 
Don't miss out on recreational opportunities including an outdoor pool and a fitness center. Additional features at this hostel include complimentary wireless Internet access and tour/ticket assistance.
Featured amenities include dry cleaning/laundry services and a 24-hour front desk. Free self parking is available onsite.
Make yourself at home in one of the 2 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include complimentary bottled water and ceiling fans, and housekeeping is provided daily.
Satisfy your appetite for lunch or dinner at the hostel's restaurant, Duta Cabin Restaurant, or stay in and take advantage of the room service (during limited hours).
  
",Batik Plentong 0.5 km / 0.3 mi Lana Gallery 0.9 km / 0.5 mi Masjid Jogokariyan 1.3 km / 0.8 mi Alun Alun Kidul 1.7 km / 1.1 mi Sasono Hinggil 1.9 km / 1.2 mi De Mata Trick Eye 3D Museum 2.3 km / 1.5 mi Water Castle (Tamansari) 2.4 km / 1.5 mi Gumuling Well 2.4 km / 1.5 mi Kampoeng Cyber 2.5 km / 1.5 mi Taman Pintar Science Park 2.6 km / 1.6 mi Museum Sasmitaloka Panglima Besar Jenderal Sudirman 2.7 km / 1.7 mi Malioboro Street 2.8 km / 1.7 mi Sonobudoyo Museum 2.8 km / 1.8 mi Senopati 2.9 km / 1.8 mi Palace of Yogyakarta 3 km / 1.9 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 11.3 km / 7 mi
Duta Garden,3,"Duta Garden Hotel is one of the three hotels united in Java Bali Accommodation. Situated in a strategic area of Timuran Village (Prawirotaman Area) that is well known internationally, Duta Garden Hotel managed by one of the lodging pioneers has been experienced in giving services to tourists from different countries. Its existence for more than a decade and its success to go through economy crisis proves that Duta Garden Hotel services are the best. Duta Garden Hotel provides you more than just bedrooms, but also beautiful, comfortable and clean atmosphere. The living room is designed in characteristic Yogyakarta style furnished with wooden chairs and ethnic ornaments. Guests can enjoy cool and comfortable rooms in tropical area as well as the bedrooms that are of tropical style. All are combined into compilation of Yogyakarta beauty a la Duta Garden Hotel. Welcome, we are ready to fulfill your expectation. This hotel is furnished with meeting rooms that can accommodate up to 25 people, telecommunication facilities for domestic and international, laundry service, tour information and safe deposit box. 
The hotel boasts some room categories, namely Single with Fan, Double with Fan, Single with AC and Double with AC. These cool and comfortable rooms are decorated in tropical style. Each room features garden view and comfortable terrace, as well as a private bathroom with shower/ bathtub. Other in-room amenities comprise direct dial telephone, safe and individually air conditioning. 
The property serves continental breakfast and à la carte lunch and dinner on request.
The property boasts an outdoor swimming pool with sunbathing bench and waterfall.","Duta Garden Hotel is one of the three hotels united in Java Bali Accommodation. Situated in a strategic area of Timuran Village (Prawirotaman Area) that is well known internationally, Duta Garden Hotel managed by one of the lodging pioneers has been experienced in giving services to tourists from different countries. Its existence for more than a decade and its success to go through economy crisis proves that Duta Garden Hotel services are the best. Duta Garden Hotel provides you more than just bedrooms, but also beautiful, comfortable and clean atmosphere. The living room is designed in characteristic Yogyakarta style furnished with wooden chairs and ethnic ornaments. Guests can enjoy cool and comfortable rooms in tropical area as well as the bedrooms that are of tropical style. All are combined into compilation of Yogyakarta beauty a la Duta Garden Hotel. Welcome, we are ready to fulfill your expectation. This hotel is furnished with meeting rooms that can accommodate up to 25 people, telecommunication facilities for domestic and international, laundry service, tour information and safe deposit box. 
The hotel boasts some room categories, namely Single with Fan, Double with Fan, Single with AC and Double with AC. These cool and comfortable rooms are decorated in tropical style. Each room features garden view and comfortable terrace, as well as a private bathroom with shower/ bathtub. Other in-room amenities comprise direct dial telephone, safe and individually air conditioning. 
The property serves continental breakfast and à la carte lunch and dinner on request.
The property boasts an outdoor swimming pool with sunbathing bench and waterfall.",none
Duta Guest House,3,"Featuring a exquisite leafy garden, Duta Guest House boasts an array of utmost amenities. Duta Garden Hotel provides you more than just bedrooms, but also beautiful, comfortable and clean atmosphere. The living room is designed in characteristic Yogyakarta style furnished with wooden chairs and ethnic ornaments. Guests can enjoy cool and comfortable rooms in tropical area as well as the bedrooms that are of tropical style. Guests are welcomed into a lobby with 24-hour reception, check-out service and a hotel safe. Furthermore, the establishment boasts 31 rooms on offer. 
Guests can choose the room types to enjoy Javanese ambiance. These cool and comfortable rooms are decorated in tropical style. Room facilities comprise en-suite bathroom with shower/ bathtub, air conditioning, an International Direct Dial (IDD) telephone, safe and a balcony or terrace. 
The restaurant serves breakfast, lunch and dinner. 
Guests can take a refreshing dip in an outdoor swimming pool with sunbathing beach.","Featuring a exquisite leafy garden, Duta Guest House boasts an array of utmost amenities. Duta Garden Hotel provides you more than just bedrooms, but also beautiful, comfortable and clean atmosphere. The living room is designed in characteristic Yogyakarta style furnished with wooden chairs and ethnic ornaments. Guests can enjoy cool and comfortable rooms in tropical area as well as the bedrooms that are of tropical style. Guests are welcomed into a lobby with 24-hour reception, check-out service and a hotel safe. Furthermore, the establishment boasts 31 rooms on offer. 
Guests can choose the room types to enjoy Javanese ambiance. These cool and comfortable rooms are decorated in tropical style. Room facilities comprise en-suite bathroom with shower/ bathtub, air conditioning, an International Direct Dial (IDD) telephone, safe and a balcony or terrace. 
The restaurant serves breakfast, lunch and dinner. 
Guests can take a refreshing dip in an outdoor swimming pool with sunbathing beach.",none
Eastparc Hotel,5,"This property located near Gembira Loka Zoo. 2 restaurants, a full-service spa, and an outdoor pool are available at this hotel. Free WiFi in public areas and free self parking are also provided. Additionally, a fitness center, a spa tub, and a steam room are onsite. All 189 rooms feature thoughtful touches like bathrobes and slippers, plus free WiFi and LED TVs with satellite channels. Balconies, room service, and free bottled water are among the other amenities available to guests. 
Pamper yourself with a visit to the spa, which offers massages and body treatments. You can take advantage of recreational amenities such as an outdoor pool, a spa tub, and a steam room. This hotel also features complimentary wireless Internet access, concierge services, and gift shops/newsstands.
Featured amenities include a business center, dry cleaning/laundry services, and a 24-hour front desk. This hotel has 20 meeting rooms available for events. Free self parking is available onsite.
Make yourself at home in one of the 189 air-conditioned rooms featuring LED televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms have designer toiletries and hair dryers.
Enjoy Halal dishes at Verandah Alfresco, one of the hotel's 2 restaurants, or stay in and take advantage of the room service (during limited hours). Buffet breakfasts are available daily from 6:00 AM to 10:00 AM for a fee.
 Nearby Attractions
 Plaza Ambarrukmo 0.9 km / 0.5 mi TransMart Studio Mini 1.2 km / 0.8 mi Affandi Museum 1.4 km / 0.9 mi Museum Dirgantara 1.5 km / 1 mi Sunan Kalijaga State Islamic University Yogyakarta 1.6 km / 1 mi Lippo Plaza Jogja 2 km / 1.3 mi Siloam Hospital Yogyakarta 2.3 km / 1.4 mi Jogja Expo Center 2.3 km / 1.4 mi Galeria Mall 3.3 km / 2 mi Gembira Loka Zoo 3.4 km / 2.1 mi Yogyakarta State University 3.5 km / 2.2 mi Hartono Mall 4 km / 2.5 mi Sasana Among Rogo 4.2 km / 2.6 mi Kota Gede 4.2 km / 2.6 mi Museum Kekayon 4.2 km / 2.6 mi The nearest airports are:
Yogyakarta (JOG-Adisucipto Intl.) - 3.5 km / 2.2 mi
 Surakarta (SOC-Adisumarmo Intl.) - 55.6 km / 34.5 mi
 The preferred airport for Eastparc Hotel is Yogyakarta (JOG-Adisucipto Intl.).","This property located near Gembira Loka Zoo. 2 restaurants, a full-service spa, and an outdoor pool are available at this hotel. Free WiFi in public areas and free self parking are also provided. Additionally, a fitness center, a spa tub, and a steam room are onsite. All 189 rooms feature thoughtful touches like bathrobes and slippers, plus free WiFi and LED TVs with satellite channels. Balconies, room service, and free bottled water are among the other amenities available to guests. 
Pamper yourself with a visit to the spa, which offers massages and body treatments. You can take advantage of recreational amenities such as an outdoor pool, a spa tub, and a steam room. This hotel also features complimentary wireless Internet access, concierge services, and gift shops/newsstands.
Featured amenities include a business center, dry cleaning/laundry services, and a 24-hour front desk. This hotel has 20 meeting rooms available for events. Free self parking is available onsite.
Make yourself at home in one of the 189 air-conditioned rooms featuring LED televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms have designer toiletries and hair dryers.
Enjoy Halal dishes at Verandah Alfresco, one of the hotel's 2 restaurants, or stay in and take advantage of the room service (during limited hours). Buffet breakfasts are available daily from 6:00 AM to 10:00 AM for a fee.", Plaza Ambarrukmo 0.9 km / 0.5 mi TransMart Studio Mini 1.2 km / 0.8 mi Affandi Museum 1.4 km / 0.9 mi Museum Dirgantara 1.5 km / 1 mi Sunan Kalijaga State Islamic University Yogyakarta 1.6 km / 1 mi Lippo Plaza Jogja 2 km / 1.3 mi Siloam Hospital Yogyakarta 2.3 km / 1.4 mi Jogja Expo Center 2.3 km / 1.4 mi Galeria Mall 3.3 km / 2 mi Gembira Loka Zoo 3.4 km / 2.1 mi Yogyakarta State University 3.5 km / 2.2 mi Hartono Mall 4 km / 2.5 mi Sasana Among Rogo 4.2 km / 2.6 mi Kota Gede 4.2 km / 2.6 mi Museum Kekayon 4.2 km / 2.6 mi The nearest airports are:Yogyakarta (JOG-Adisucipto Intl.) - 3.5 km / 2.2 mi Surakarta (SOC-Adisumarmo Intl.) - 55.6 km / 34.5 mi The preferred airport for Eastparc Hotel is Yogyakarta (JOG-Adisucipto Intl.).
Eclipse Hotel,2,"This new property is a cozy, bright and clean hotel. Its interiors have been designed in modern and minimalist style. All the comfortable guest rooms are complete with all the necessary facilities. Quiet and elegant, they allow the guests to rest in a truly relaxing ambience.
The 26 air-conditioned guestrooms at ECLIPSE Hotel include minibars and coffee/tea makers. Guests can use the in-room complimentary wireless high-speed Internet access. Rooms are equipped with flat-screen TVs with satellite channels. All accommodations provide desks and phones. Bathrooms offer showers with rainfall showerheads, and slippers. All units feature refrigerators and complimentary bottled water. In addition, housekeeping is offered daily and amenities available on request include hair dryers.
 The hotel offers a restaurant. A complimentary breakfast is served each morning. 
 Whether you're a fitness enthusiast or are just looking for a way to unwind after a hard day, you will be entertained by top-class recreational facilities such as outdoor pool. 
 Wireless Internet access is complimentary in public areas. Additional amenities include an outdoor pool, tour/ticket assistance, and laundry facilities.","This new property is a cozy, bright and clean hotel. Its interiors have been designed in modern and minimalist style. All the comfortable guest rooms are complete with all the necessary facilities. Quiet and elegant, they allow the guests to rest in a truly relaxing ambience.
The 26 air-conditioned guestrooms at ECLIPSE Hotel include minibars and coffee/tea makers. Guests can use the in-room complimentary wireless high-speed Internet access. Rooms are equipped with flat-screen TVs with satellite channels. All accommodations provide desks and phones. Bathrooms offer showers with rainfall showerheads, and slippers. All units feature refrigerators and complimentary bottled water. In addition, housekeeping is offered daily and amenities available on request include hair dryers.
 The hotel offers a restaurant. A complimentary breakfast is served each morning. 
 Whether you're a fitness enthusiast or are just looking for a way to unwind after a hard day, you will be entertained by top-class recreational facilities such as outdoor pool. 
 Wireless Internet access is complimentary in public areas. Additional amenities include an outdoor pool, tour/ticket assistance, and laundry facilities.",none
Edu Hostel Jogja,1,"EDU Hostel is the first hostel of its type in all of Indonesia that modern and centrally located in downtown Jogja, catering to travelers who want to be in the center of it all. Truly experience the culture of Indonesia while staying near the famous shopping strip Malioboro Street. 
EDU's selection of private and dormitory-style rooms will provide what you need. Air conditioning and en-suite bathrooms set us a step above many other hostels, and spacious common areas and a huge rooftop help make us truly unique.
The hotel's recreational facilities, which include pool (kids), outdoor pool are designed for escape and relaxation.
Guests can watch TV in the shared lounge or surf internet at the computer corner. There is also a laundry service.","EDU Hostel is the first hostel of its type in all of Indonesia that modern and centrally located in downtown Jogja, catering to travelers who want to be in the center of it all. Truly experience the culture of Indonesia while staying near the famous shopping strip Malioboro Street. 
EDU's selection of private and dormitory-style rooms will provide what you need. Air conditioning and en-suite bathrooms set us a step above many other hostels, and spacious common areas and a huge rooftop help make us truly unique.
The hotel's recreational facilities, which include pool (kids), outdoor pool are designed for escape and relaxation.
Guests can watch TV in the shared lounge or surf internet at the computer corner. There is also a laundry service.",none
Ekost Danurejan,2,"This property located near Malioboro Street. Along with concierge services, this smoke-free guesthouse has dry cleaning and tour/ticket assistance. Free WiFi in public areas and free self parking are also provided. Other amenities include a garden. All 22 rooms offer free WiFi, balconies or patios, and flat-screen TVs with cable channels. Other amenities available to guests include living rooms, free local calls, and free bottled water. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
Featured amenities include dry cleaning/laundry services and luggage storage. Free self parking is available onsite.
 
The front desk is open daily from 8 AM - 8 PM. 
If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation.
 
Make yourself at home in one of the 22 air-conditioned rooms featuring flat-screen televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided.
 Nearby Attractions
 
 Kota Gede 0.7 km / 0.4 m iBatik Museum 0.7 km / 0.4 mi Malioboro Street 0.9 km / 0.5 mi Malioboro Mall 1.1 km / 0.7 mi Pakualaman Palace 1.3 km / 0.8 mi Pasar Beringharjo 1.3 km / 0.8 mi Senopati 1.3 km / 0.8 mi Museum Sasmitaloka Panglima Besar Jenderal Sudirman 1.4 km / 0.8 mi Bringharjo Market 1.4 km / 0.9 mi Taman Pintar Science Park 1.5 km / 0.9 mi Fort Vredeburg Museum 1.5 km / 1 mi Gedung Agung 1.5 km / 1 mi Yogyakarta Presidential Palace 1.6 km / 1 mi Sasana Among Rogo 1.7 km / 1.1 mi Galeria Mall 1.8 km / 1.1 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 8.7 km / 5.4 mi","This property located near Malioboro Street. Along with concierge services, this smoke-free guesthouse has dry cleaning and tour/ticket assistance. Free WiFi in public areas and free self parking are also provided. Other amenities include a garden. All 22 rooms offer free WiFi, balconies or patios, and flat-screen TVs with cable channels. Other amenities available to guests include living rooms, free local calls, and free bottled water. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
Featured amenities include dry cleaning/laundry services and luggage storage. Free self parking is available onsite.
 
The front desk is open daily from 8 AM - 8 PM. 
If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation.
 
Make yourself at home in one of the 22 air-conditioned rooms featuring flat-screen televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided.
  
 
", Kota Gede 0.7 km / 0.4 m iBatik Museum 0.7 km / 0.4 mi Malioboro Street 0.9 km / 0.5 mi Malioboro Mall 1.1 km / 0.7 mi Pakualaman Palace 1.3 km / 0.8 mi Pasar Beringharjo 1.3 km / 0.8 mi Senopati 1.3 km / 0.8 mi Museum Sasmitaloka Panglima Besar Jenderal Sudirman 1.4 km / 0.8 mi Bringharjo Market 1.4 km / 0.9 mi Taman Pintar Science Park 1.5 km / 0.9 mi Fort Vredeburg Museum 1.5 km / 1 mi Gedung Agung 1.5 km / 1 mi Yogyakarta Presidential Palace 1.6 km / 1 mi Sasana Among Rogo 1.7 km / 1.1 mi Galeria Mall 1.8 km / 1.1 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 8.7 km / 5.4 mi
eL Hotel Royale Yogyakarta Malioboro,3,"This property located near Malioboro Street. Along with a restaurant, this smoke-free hotel has concierge services and a 24-hour front desk. Free WiFi in public areas and free self parking are also provided. Other amenities include free newspapers. All 166 rooms offer free WiFi, LED TVs with cable channels, and free bottled water. Other amenities available to guests include showers, phones, and desks. 
Take advantage of recreation opportunities such as an indoor pool, or other amenities including complimentary wireless Internet access and concierge services.
Featured amenities include complimentary newspapers in the lobby, a 24-hour front desk, and luggage storage. This hotel has 4 meeting rooms available for events. Free self parking is available onsite. Make yourself at home in one of the 166 air-conditioned rooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and slippers. Conveniences include phones, as well as desks and complimentary bottled water.
Enjoy a satisfying meal at Prambanan Restaurant serving guests of eL Hotel Royale Yogyakarta Malioboro.
 Nearby Attractions
 Malioboro Street 0.1 km / 0.1 mi Malioboro Mall 0.2 km / 0.1 mi Bringharjo Market 0.6 km / 0.4 mi Pasar Beringharjo 0.8 km / 0.5 mi Yogyakarta Presidential Palace 0.8 km / 0.5 mi Fort Vredeburg Museum 0.8 km / 0.5 mi Gedung Agung 0.8 km / 0.5 mi Senopati 0.9 km / 0.5 mi Sonobudoyo Museum 1.2 km / 0.7 mi Taman Pintar Science Park 1.2 km / 0.7 mi Palace of Yogyakarta 1.3 km / 0.8 mi Yogyakarta Monument 1.4 km / 0.8 mi Museum Kereta Kraton 1.4 km / 0.9 mi Kota Gede 1.6 km / 1 mi Kraton Complex 1.7 km / 1.1 mi The preferred airport for eL Hotel Royale Yogyakarta Malioboro is Yogyakarta (JOG-Adisucipto Intl.) - 10.2 km / 6.3 mi","This property located near Malioboro Street. Along with a restaurant, this smoke-free hotel has concierge services and a 24-hour front desk. Free WiFi in public areas and free self parking are also provided. Other amenities include free newspapers. All 166 rooms offer free WiFi, LED TVs with cable channels, and free bottled water. Other amenities available to guests include showers, phones, and desks. 
Take advantage of recreation opportunities such as an indoor pool, or other amenities including complimentary wireless Internet access and concierge services.
Featured amenities include complimentary newspapers in the lobby, a 24-hour front desk, and luggage storage. This hotel has 4 meeting rooms available for events. Free self parking is available onsite. Make yourself at home in one of the 166 air-conditioned rooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and slippers. Conveniences include phones, as well as desks and complimentary bottled water.
Enjoy a satisfying meal at Prambanan Restaurant serving guests of eL Hotel Royale Yogyakarta Malioboro.
  
", Malioboro Street 0.1 km / 0.1 mi Malioboro Mall 0.2 km / 0.1 mi Bringharjo Market 0.6 km / 0.4 mi Pasar Beringharjo 0.8 km / 0.5 mi Yogyakarta Presidential Palace 0.8 km / 0.5 mi Fort Vredeburg Museum 0.8 km / 0.5 mi Gedung Agung 0.8 km / 0.5 mi Senopati 0.9 km / 0.5 mi Sonobudoyo Museum 1.2 km / 0.7 mi Taman Pintar Science Park 1.2 km / 0.7 mi Palace of Yogyakarta 1.3 km / 0.8 mi Yogyakarta Monument 1.4 km / 0.8 mi Museum Kereta Kraton 1.4 km / 0.9 mi Kota Gede 1.6 km / 1 mi Kraton Complex 1.7 km / 1.1 mi The preferred airport for eL Hotel Royale Yogyakarta Malioboro is Yogyakarta (JOG-Adisucipto Intl.) - 10.2 km / 6.3 mi
Embe Joglo Homestay,3,"This property located near Hartono Mall. 
 
 Nearby Attractions
 Hartono Mall 1.2 km / 0.7 mi Jogja Bay 3.1 km / 1.9 mi Maguwoharjo Stadium 3 .3 km / 2.1 mi Yogyakarta State University 3.5 km / 2.2 mi Gadjah Mada University 4 km / 2.5 mi Lippo Plaza Jogja 4 km / 2.5 mi Siloam Hospital Yogyakarta 4 km / 2.5 mi Yogya Kembali Monument 4.2 km / 2.6 mi Sunan Kalijaga State Islamic University Yogyakarta 4.2 km / 2.6 mi Affandi Museum 4.2 km / 2.6 mi Plaza Ambarrukmo 4.4 km / 2.7 mi Galeria Mall 4.8 km / 3 mi TransMart Studio Mini 5.3 km / 3.3 mi Jogja City Mal l5.6 km / 3.5 mi Sasana Among Rogo 6 km / 3.7 mi The nearest airports are:
Yogyakarta (JOG-Adisucipto Intl.) - 6.7 km / 4.1 mi
 Surakarta (SOC-Adisumarmo Intl.) - 59.1 km / 36.7 mi","This property located near Hartono Mall. 
 
  
 ",Hartono Mall 1.2 km / 0.7 mi Jogja Bay 3.1 km / 1.9 mi Maguwoharjo Stadium 3 .3 km / 2.1 mi Yogyakarta State University 3.5 km / 2.2 mi Gadjah Mada University 4 km / 2.5 mi Lippo Plaza Jogja 4 km / 2.5 mi Siloam Hospital Yogyakarta 4 km / 2.5 mi Yogya Kembali Monument 4.2 km / 2.6 mi Sunan Kalijaga State Islamic University Yogyakarta 4.2 km / 2.6 mi Affandi Museum 4.2 km / 2.6 mi Plaza Ambarrukmo 4.4 km / 2.7 mi Galeria Mall 4.8 km / 3 mi TransMart Studio Mini 5.3 km / 3.3 mi Jogja City Mal l5.6 km / 3.5 mi Sasana Among Rogo 6 km / 3.7 mi The nearest airports are:Yogyakarta (JOG-Adisucipto Intl.) - 6.7 km / 4.1 mi Surakarta (SOC-Adisumarmo Intl.) - 59.1 km / 36.7 mi
Family Home Ratmono JIH,2,"This property located near Hartono Mall. This guesthouse features a 24-hour front desk, free self parking, and free WiFi in public areas. The accommodation offers free WiFi, an LED TV with satellite channels, and free bottled water. 
Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access.
Free self parking is available onsite.
 If you are planning to arrive after 11:00 PM please contact the property in advance using the information on the booking confirmation.
Make yourself comfortable in your air-conditioned accommodation, which features an LED TV. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. The bathroom has a shower.
 Nearby Attractions
 Hartono Mall 1.2 km / 0.8 mi Jogja Bay 3.1 km / 1.9 mi Yogyakarta State University 3.5 km / 2.2 mi Maguwoharjo Stadium 3.6 km / 2.2 mi Gadjah Mada University 4 km / 2.5 mi Lippo Plaza Jogja 4 km / 2.5 mi Siloam Hospital Yogyakarta 4.1 km / 2.5 mi Sunan Kalijaga State Islamic University Yogyakarta 4.2 km / 2.6 mi Affandi Museum 4.2 km / 2.6 mi Yogya Kembali Monument 4.2 km / 2.6 mi Plaza Ambarrukmo 4.4 km / 2.7 mi TransMart Studio Mini 4.6 km / 2.8 mi Galeria Mall 4.8 km / 3 mi Jogja Expo Center 6.2 km / 3.8 mi Sambisari Temple 6.2 km / 3.9 mi The nearest airports are:
Yogyakarta (JOG-Adisucipto Intl.) - 6.5 km / 4.1 mi
 Surakarta (SOC-Adisumarmo Intl.) - 58.6 km / 36.4 mi","This property located near Hartono Mall. This guesthouse features a 24-hour front desk, free self parking, and free WiFi in public areas. The accommodation offers free WiFi, an LED TV with satellite channels, and free bottled water. 
Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access.
Free self parking is available onsite.
 If you are planning to arrive after 11:00 PM please contact the property in advance using the information on the booking confirmation.
Make yourself comfortable in your air-conditioned accommodation, which features an LED TV. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. The bathroom has a shower.
  
", Hartono Mall 1.2 km / 0.8 mi Jogja Bay 3.1 km / 1.9 mi Yogyakarta State University 3.5 km / 2.2 mi Maguwoharjo Stadium 3.6 km / 2.2 mi Gadjah Mada University 4 km / 2.5 mi Lippo Plaza Jogja 4 km / 2.5 mi Siloam Hospital Yogyakarta 4.1 km / 2.5 mi Sunan Kalijaga State Islamic University Yogyakarta 4.2 km / 2.6 mi Affandi Museum 4.2 km / 2.6 mi Yogya Kembali Monument 4.2 km / 2.6 mi Plaza Ambarrukmo 4.4 km / 2.7 mi TransMart Studio Mini 4.6 km / 2.8 mi Galeria Mall 4.8 km / 3 mi Jogja Expo Center 6.2 km / 3.8 mi Sambisari Temple 6.2 km / 3.9 mi The nearest airports are:Yogyakarta (JOG-Adisucipto Intl.) - 6.5 km / 4.1 mi Surakarta (SOC-Adisumarmo Intl.) - 58.6 km / 36.4 mi
